District,Year,november,december,january,february,Yield
PACHIM CHAMPARAN,2010,0.515,0.386,0.45,0.532,2.68
PACHIM CHAMPARAN,2011,0.459,0.409,0.487,0.505,3.24
PACHIM CHAMPARAN,2012,0.486,0.344,0.411,0.528,2.56
PACHIM CHAMPARAN,2013,0.515,0.441,0.485,0.548,2.87
PACHIM CHAMPARAN,2014,0.514,0.448,0.502,0.522,1.22
PATNA,2006,0.473,0.446,0.534,0.679,2.15
PATNA,2007,0.498,0.427,0.637,0.656,2.47
PATNA,2008,0.457,0.45,0.623,0.588,2.59
PATNA,2009,0.472,0.479,0.581,0.619,2.14
PATNA,2010,0.502,0.431,0.514,0.593,2.34
PATNA,2011,0.472,0.415,0.576,0.637,3.66
PATNA,2012,0.509,0.418,0.543,0.678,3.57
PATNA,2013,0.464,0.438,0.592,0.663,2.81
PATNA,2014,0.437,0.452,0.633,0.647,2.81
PURBA CHAMPARAN,2006,0.454,0.48,0.521,0.665,2.02
PURBA CHAMPARAN,2007,0.461,0.384,0.612,0.618,2.79
PURBA CHAMPARAN,2008,0.388,0.432,0.63,0.631,1.46
PURBA CHAMPARAN,2009,0.449,0.418,0.527,0.638,0.59
PURBA CHAMPARAN,2010,0.499,0.363,0.54,0.648,3.03
PURBA CHAMPARAN,2011,0.449,0.418,0.604,0.627,3.24
PURBA CHAMPARAN,2012,0.503,0.333,0.508,0.664,2.64
PURBA CHAMPARAN,2013,0.475,0.398,0.621,0.668,2.73
PURBA CHAMPARAN,2014,0.453,0.469,0.605,0.62,0.68
PURNIA,2006,0.491,0.432,0.454,0.557,1.34
PURNIA,2007,0.491,0.414,0.54,0.539,1.59
PURNIA,2008,0.478,0.418,0.475,0.533,1.61
PURNIA,2009,0.505,0.402,0.454,0.517,2.11
PURNIA,2010,0.473,0.399,0.446,0.513,1.96
PURNIA,2011,0.505,0.416,0.482,0.533,2.62
PURNIA,2012,0.515,0.382,0.431,0.574,2.69
PURNIA,2013,0.479,0.397,0.53,0.563,2.65
PURNIA,2014,0.499,0.454,0.562,0.586,0.6
ROHTAS,2006,0.599,0.357,0.486,0.666,2.44
ROHTAS,2007,0.662,0.339,0.632,0.656,2.75
ROHTAS,2008,0.54,0.374,0.628,0.644,2.57
ROHTAS,2009,0.662,0.347,0.527,0.679,2.31
ROHTAS,2010,0.688,0.357,0.519,0.684,2.94
ROHTAS,2011,0.662,0.339,0.546,0.658,2.75
ROHTAS,2012,0.695,0.326,0.505,0.687,3.2
ROHTAS,2013,0.643,0.363,0.574,0.708,2.92
ROHTAS,2014,0.596,0.35,0.633,0.676,2.07
SAHARSA,2006,0.477,0.383,0.419,0.599,1.92
SAHARSA,2007,0.505,0.362,0.583,0.585,1.98
SAHARSA,2008,0.476,0.372,0.528,0.576,1.72
SAHARSA,2009,0.494,0.34,0.45,0.537,2.05
SAHARSA,2010,0.516,0.345,0.474,0.583,2.3
SAHARSA,2011,0.494,0.344,0.536,0.559,3.07
SAHARSA,2012,0.539,0.328,0.428,0.6,2.45
SAHARSA,2013,0.498,0.353,0.557,0.596,2.74
SAHARSA,2014,0.489,0.427,0.598,0.617,2.21
SAMASTIPUR,2006,0.451,0.495,0.561,0.668,2.79
SAMASTIPUR,2007,0.367,0.395,0.638,0.66,2.65
SAMASTIPUR,2008,0.401,0.468,0.656,0.637,2.3
SAMASTIPUR,2009,0.431,0.483,0.613,0.626,2.74
SAMASTIPUR,2010,0.472,0.443,0.546,0.619,2.65
SAMASTIPUR,2011,0.431,0.486,0.631,0.631,3.84
SAMASTIPUR,2012,0.468,0.431,0.59,0.678,3.5
SAMASTIPUR,2013,0.412,0.497,0.661,0.667,3.74
SAMASTIPUR,2014,0.4,0.56,0.674,0.678,2.09
SARAN,2006,0.448,0.46,0.552,0.676,2.34
SARAN,2007,0.459,0.403,0.66,0.664,2.54
SARAN,2008,0.385,0.467,0.675,0.644,2.47
SARAN,2009,0.441,0.438,0.586,0.638,2.32
SARAN,2010,0.501,0.391,0.56,0.672,2.78
SARAN,2011,0.441,0.428,0.607,0.649,3.31
SARAN,2012,0.49,0.376,0.577,0.705,2.86
SARAN,2013,0.449,0.417,0.6,0.699,3.14
SARAN,2014,0.411,0.461,0.656,0.629,2.02
SHEIKHPURA,2006,0.439,0.401,0.488,0.623,2.04
SHEIKHPURA,2007,0.58,0.377,0.589,0.602,2.2
SHEIKHPURA,2008,0.474,0.387,0.548,0.539,2.12
SHEIKHPURA,2009,0.492,0.425,0.526,0.563,2.38
