District,Year,june,july,august,september,october,november,Yield
Basti,2016,0.32,0.444,0.724,0.717,0.662,0.438,2.06
Basti,2017,0.365,0.485,0.742,0.79,0.673,0.454,2.97
Basti,2018,0.331,0.483,0.661,0.806,0.642,0.449,2.82
Basti,2019,0.287,0.389,0.556,0.782,0.764,0.503,2.71
Bijnor,2006,0.514,0.646,0.74,0.734,0.65,0.532,2.59
Bijnor,2007,0.429,0.635,0.737,0.706,0.621,0.512,2.61
Bijnor,2008,0.472,0.609,0.728,0.691,0.578,0.488,2.51
Bijnor,2009,0.379,0.604,0.714,0.77,0.641,0.507,2.39
Bijnor,2010,0.411,0.618,0.719,0.743,0.618,0.499,2.35
Bijnor,2011,0.521,0.604,0.714,0.77,0.641,0.507,2.4
Bijnor,2012,0.379,0.534,0.739,0.763,0.658,0.547,2.52
Bijnor,2013,0.529,0.712,0.751,0.71,0.692,0.535,2.33
Bijnor,2014,0.412,0.54,0.711,0.732,0.668,0.514,2.62
Bijnor,2015,0.434,0.721,0.748,0.727,0.686,0.534,2.59
Bijnor,2016,0.501,0.707,0.759,0.748,0.624,0.539,2.53
Bijnor,2017,0.563,0.726,0.783,0.765,0.667,0.539,2.51
Bijnor,2018,0.544,0.677,0.755,0.721,0.645,0.561,2.42
Bijnor,2019,0.552,0.698,0.73,0.802,0.708,0.59,2.65
Bulandsahar,2006,0.379,0.568,0.691,0.635,0.517,0.404,2.18
Bulandsahar,2007,0.442,0.561,0.627,0.621,0.509,0.404,2.34
Bulandsahar,2008,0.463,0.562,0.682,0.6,0.535,0.412,2.31
Bulandsahar,2009,0.307,0.429,0.603,0.686,0.571,0.419,2.25
Bulandsahar,2010,0.328,0.545,0.652,0.661,0.552,0.414,2.26
Bulandsahar,2011,0.373,0.43,0.603,0.687,0.571,0.419,2.37
Bulandsahar,2012,0.328,0.446,0.674,0.733,0.542,0.415,2.58
Bulandsahar,2013,0.423,0.566,0.662,0.646,0.576,0.418,2.63
Bulandsahar,2014,0.344,0.418,0.639,0.634,0.523,0.369,2.56
Bulandsahar,2015,0.344,0.52,0.676,0.622,0.549,0.398,2.69
Bulandsahar,2016,0.425,0.56,0.722,0.652,0.508,0.423,2.53
Bulandsahar,2017,0.442,0.567,0.694,0.71,0.535,0.421,3.01
Bulandsahar,2018,0.359,0.502,0.686,0.697,0.558,0.426,2.83
Bulandsahar,2019,0.427,0.567,0.626,0.753,0.59,0.443,2.89
Chandauli,2006,0.305,0.394,0.533,0.737,0.698,0.52,2.56
Chandauli,2007,0.284,0.386,0.486,0.722,0.745,0.621,2.61
Chandauli,2008,0.239,0.4,0.539,0.756,0.721,0.487,2.67
Chandauli,2009,0.205,0.348,0.426,0.646,0.659,0.563,2.01
Chandauli,2010,0.21,0.402,0.511,0.72,0.736,0.625,2.76
Chandauli,2011,0.253,0.348,0.426,0.647,0.659,0.563,2.68
Chandauli,2012,0.2,0.327,0.501,0.77,0.722,0.625,2.79
Chandauli,2013,0.263,0.387,0.611,0.743,0.752,0.598,2.67
Chandauli,2014,0.235,0.34,0.409,0.717,0.746,0.575,2.96
Chandauli,2015,0.243,0.354,0.504,0.737,0.731,0.601,3.08
Chandauli,2016,0.232,0.317,0.449,0.655,0.772,0.566,2.75
Chandauli,2017,0.232,0.319,0.691,0.812,0.763,0.589,3.07
Chandauli,2018,0.24,0.302,0.426,0.756,0.726,0.628,3.18
Chandauli,2019,0.427,0.567,0.626,0.753,0.59,0.443,3.34
Deoria,2006,0.303,0.399,0.617,0.721,0.67,0.421,1.71
Deoria,2007,0.278,0.351,0.55,0.689,0.628,0.4,1.97
Deoria,2008,0.262,0.317,0.571,0.667,0.571,0.365,2.15
